title,link,play_times,collection_times,relay_times,comments,creator,create_date
电音 | 玩游戏时无比带感的歌曲,"https://music.163.com/playlist?id=511695152
",2998361,50978,662,1,千万般遗憾,2016-11-16
古风电音||茶已凉人偏不走 只盼与你看花开,"https://music.163.com/playlist?id=2099843212
",868058,50482,572,203,晚点遇到她,2018-02-12
Lofi Hiphop/Chillhop IN YouTube Channel,"https://music.163.com/playlist?id=898790353
",1308490,50392,895,324,BananaF1sh,2017-08-29
『萌系bass』清新Kawaii激活元气每一天,"https://music.163.com/playlist?id=2268929030
",827239,50255,290,142,2017幻忆,2018-06-13
『冷门』Have a nice 「Holiday」假日必备,"https://music.163.com/playlist?id=2616238898
",1737806,50141,476,452,循光,2019-01-09
9102年抖腿指南，今年什么水平？,"https://music.163.com/playlist?id=2622967273
",2487374,49824,317,478,NickyRomero,2019-01-13
康纳麦格雷戈专属BGM,"https://music.163.com/playlist?id=2090838082
",2669073,48490,650,290,Dj-MraDeL,2018-02-07
视频博主游记VLOG用,"https://music.163.com/playlist?id=2183147885
",983584,48226,384,84,MADman47,2018-04-13
80'Sing | 复古现在进行时,"https://music.163.com/playlist?id=870395774
",2156478,48100,1256,890,努娜左,2017-08-06
初音未来十周年诞生祭，把你给MikuMiku掉！,"https://music.163.com/playlist?id=899495799
",943188,47680,317,288,野良兔,2017-08-29
气场两米八 | 内心要骚 步子要稳 眼神要狠,"https://music.163.com/playlist?id=2379698024
",1778963,46373,797,551,云音乐VIP,2018-08-22
「惊艳电子·旋律控」一听倾心 爱不释耳❶,"https://music.163.com/playlist?id=2436059762
",1971293,45971,493,190,Zeitkunst,2018-09-25
剪辑师必备-快节奏的背景音乐,"https://music.163.com/playlist?id=892109544
",490575,45878,345,82,伊泽卡卡,2017-08-24
Future Beats ◐ 糟糕，是心肌梗塞的感觉！,"https://music.163.com/playlist?id=2577388187
",1590730,45820,480,237,NickyRomero,2018-12-29
可爱的古风小曲儿哟,"https://music.163.com/playlist?id=2002498403
",1270704,44683,364,315,-神算-,2017-12-04
『电音故事』 从华夏文明的起源说起,"https://music.163.com/playlist?id=2184066432
",895547,44434,315,179,听歌要有调,2018-04-13
【女声电音】甜蜜与动感的美妙律动,"https://music.163.com/playlist?id=2220502985
",2000135,43993,476,374,谐星七十六号,2018-05-10
中国风与电音的奇妙融合,"https://music.163.com/playlist?id=2101188078
",890470,42596,299,151,单音系,2018-02-13
致孤单的人们，让初音带领你离开孤独,"https://music.163.com/playlist?id=2235841494
",1148963,41856,246,400,初音_Miku酱,2018-05-21
Alan Walker艾兰·沃克,"https://music.163.com/playlist?id=721261048
",1576479,41160,431,524,ShakiraCR7,2017-05-08
「日常上班写作业防打瞌睡必备」,"https://music.163.com/playlist?id=2415608589
",2002417,41102,330,190,电音赫兹,2018-09-11
【视频剪辑】踩点/节奏 快剪BGM,"https://music.163.com/playlist?id=895585853
",820607,40248,335,228,兔兔总会有的,2017-08-26
即刻电音 || 参赛作品合集⭐,"https://music.163.com/playlist?id=2495677303
",2770108,40188,310,531,笑笑水之,2018-11-02
我方少女心正在被攻击 请求支援！,"https://music.163.com/playlist?id=2133259867
",1597454,39942,270,561,qhuiya,2018-03-09
王者荣耀打野专属，超强节奏带动全队,"https://music.163.com/playlist?id=505913268
",823912,38989,112,246,CXL020,2016-11-09
日语Drum&Bass丨小姐姐嗓音搭配轻躁电音,"https://music.163.com/playlist?id=2293946272
",1221594,38566,273,667,ALvetX,2018-06-30
Mello Gaming,"https://music.163.com/playlist?id=2313779410
",2191015,37948,366,779,MarshmelloMusic,2018-07-13
VLOG BGM | 前奏抓耳 慵懒chill 来share,"https://music.163.com/playlist?id=2087094410
",1201275,37615,396,121,eriattachtothesea,2018-02-04
撩人系｜一开口便能撩到你的女声~,"https://music.163.com/playlist?id=2102236918
",2265550,37449,385,185,凯蒂肥狸,2018-02-14
复古流行 | 新世纪的一支复古药剂,"https://music.163.com/playlist?id=2578520695
",1129384,37440,422,124,烈雨,2018-12-29
「甜嗓控」当糖果女声邂逅清新电音,"https://music.163.com/playlist?id=2189506809
",1749720,37086,480,145,NeilShine_,2018-04-17
李白煮酒 · 七贤蹦迪,"https://music.163.com/playlist?id=782903861
",1217123,36293,824,384,VHSdreams,2017-06-30
拆栏杆 断头台(Dubstep)（Bass）,"https://music.163.com/playlist?id=1993076710
",1217877,36180,1001,213,最潮的土嗨,2017-11-27
「日系电子」瞬间心动！如梦似幻的极致旋律,"https://music.163.com/playlist?id=2381486579
",1163107,36056,204,240,-沏茶赏花-,2018-08-22
【超燃史诗】━━美妙与震撼,"https://music.163.com/playlist?id=741632836
",1891745,35227,443,261,账号已注销但是又注册回来了-_-,2017-05-27
大果粒粒V的国外趣味视频里那些魔性BGM,"https://music.163.com/playlist?id=910488023
",921524,34894,199,891,藕夹吃茄夹,2017-09-07
你身上那股特立独行的劲真招人喜欢,"https://music.163.com/playlist?id=2414243220
",1460339,34251,421,256,鹿白川,2018-09-10
纯电音 ＊ 点一滴墨、听一曲中国风,"https://music.163.com/playlist?id=2338668698
",798246,33696,245,278,师兄不叫思松,2018-07-29
日语电子丨前奏掳心 软甜音色混合温柔嗓音,"https://music.163.com/playlist?id=2506845820
",891436,33332,199,385,ALvetX,2018-11-09
原来是国产：介于流行与独立个性嗓音。,"https://music.163.com/playlist?id=2462197452
",2663547,33292,278,287,徊梦,2018-10-09
重庆space酒吧,"https://music.163.com/playlist?id=923111526
",1378988,33055,704,178,成都space,2017-09-17
Future House：撩人心魄的律动节奏,"https://music.163.com/playlist?id=2065483036
",2115071,32662,433,190,薛定谔的缝纫机,2018-01-19
〖内涵D子—TV〗组织当年熟悉的旋律！,"https://music.163.com/playlist?id=2357517575
",926447,32274,363,1305,_LearnAndLive,2018-08-11
火 影· 回 忆 录,"https://music.163.com/playlist?id=697666889
",830086,31996,351,165,i9xx,2017-04-15
国风轻电音|轻云端『De·light』,"https://music.163.com/playlist?id=968491390
",687097,31891,313,111,沧暮归云-,2017-10-22
喪 甜 可 口,"https://music.163.com/playlist?id=900228548
",1138815,31699,620,218,樱花树下的猫先生,2017-08-30
〖虚幻梦境〗临近次声波的低频纯音,"https://music.163.com/playlist?id=1992269577
",534108,31670,341,165,酒沐樱,2017-11-26
听觉盛宴『欧美电音欧美歌曲精选』,"https://music.163.com/playlist?id=1979634521
",1231036,31386,223,178,ZENG_GU,2017-11-17
VOCALOID周刊冠军曲（鸽）,"https://music.163.com/playlist?id=755163551
",565621,31120,174,1058,Summer_official,2017-06-08
【贾斯汀比伯】百听不厌丨魔性神曲,"https://music.163.com/playlist?id=2020033569
",1710263,31086,311,289,Hope-boy,2017-12-18
3D、5D、8D环绕（音乐在脑子里跳舞）,"https://music.163.com/playlist?id=2002695003
",1630459,30476,171,100,奶思大官人,2017-12-04
／喜欢汽水味儿的你 我能请你吃甜点吗,"https://music.163.com/playlist?id=2349813396
",846882,29538,254,219,边白甜的少女,2018-08-05
抖腿 | 国人古风电音(无人声),"https://music.163.com/playlist?id=2132987324
",589901,29509,271,110,绿雾绕青苔,2018-03-09
苏州观前✈星德罗 Muse 潘多拉 U&M,"https://music.163.com/playlist?id=727571612
",1288265,28917,981,315,A_春告鳥,2017-05-14
♥ 带 点 甜 味 的 韩 国 电 子 乐 ♥,"https://music.163.com/playlist?id=2057419956
",679634,28814,252,81,Spyromun_,2018-01-14
黑暗Dark Trap,"https://music.163.com/playlist?id=707658294
",703759,28687,310,145,古弘宇这名字比电音黑怕还好听,2017-04-25
2018欧美精选节奏｜满载而归的音乐盛宴,"https://music.163.com/playlist?id=2581499900
",1365171,28531,207,213,原点FM,2018-12-31
论如何优雅高冷且性感|Remix,"https://music.163.com/playlist?id=2415455938
",1311181,28507,366,193,IntropinRevivan,2018-09-11
Kawaii Bass • 软萌味的萝莉电音⚡,"https://music.163.com/playlist?id=2487120533
",541857,28469,152,95,ACG二次元菌,2018-10-27
【节奏控】一听就上瘾的惊艳女声④,"https://music.163.com/playlist?id=2344354591
",1654173,26907,260,128,还你一个夏天,2018-08-02
讓 世 界 感 受 痛 楚 | 神 羅 天 征,"https://music.163.com/playlist?id=2161759760
",827255,26861,256,121,最渣男友,2018-03-29
史诗级神曲 震撼就在下一秒 致魔兽世界,"https://music.163.com/playlist?id=2272847590
",1490478,26678,199,211,Dum-娅馨,2018-06-16
瑞典音乐人Avicii离世，年仅28岁。,"https://music.163.com/playlist?id=2193790163
",914267,26337,1116,812,welphenEDM,2018-04-21
2019.如何将抖腿玩出花样艺术感?,"https://music.163.com/playlist?id=2624259074
",1159281,25983,172,153,Kaibottcher,2019-01-14
"耳机党福利:低音炮，3D 4D 5D,环绕脑子","https://music.163.com/playlist?id=2197026407
",1078016,25590,127,48,Fx不归不改名,2018-04-22
这些Future Bass有丶甜,"https://music.163.com/playlist?id=2561833096
",829011,25503,153,176,ALvetX,2018-12-17
『轻电子•舒心辑』暖 色 尘 世,"https://music.163.com/playlist?id=2033796257
",1051755,25472,463,151,LavandulaVulpes,2017-12-29
「抖腿」如何拥有良好的自我管理能力,"https://music.163.com/playlist?id=2432015698
",1600233,25459,230,241,Quanjfic,2018-09-23
『清凉古风电音集』-满塘素红碧 风起玉珠落,"https://music.163.com/playlist?id=2212853625
",490903,25444,210,66,虚拟的伤痛,2018-05-04
当自然之声流进电音的世界 | 瞬间捕获双耳,"https://music.163.com/playlist?id=2316310521
",1144053,25433,244,146,杰尼大叔,2018-07-15
骚气萨克斯，尽量别扭！,"https://music.163.com/playlist?id=2061171995
",1147240,25422,368,226,炫迈输出,2018-01-16
抒情独白社会语录.◡̈,"https://music.163.com/playlist?id=2385982163
",833841,25420,87,64,楠妹儿b,2018-08-25
【视频大拍档】特里剪辑歌单,"https://music.163.com/playlist?id=2021208456
",273952,24618,190,148,吞拿鱼宝V,2017-12-19
毒性迷幻Trap精选全部精选！,"https://music.163.com/playlist?id=2034697353
",996062,24314,257,64,YeahAyy,2017-12-30
电音–「星空幻想臻美旋律」,"https://music.163.com/playlist?id=2090125678
",802606,24254,274,118,破东风的琴,2018-02-06
『玩游戏』超神必备背景音乐,"https://music.163.com/playlist?id=2011279103
",627650,23938,113,158,冰糖味的小女孩,2017-12-11
Future Bounce | 放纵沉沦于弹跳维度,"https://music.163.com/playlist?id=2128689551
",1599016,23862,418,312,猝死大队队长,2018-03-06
轻电音 | 治愈的音符 心动的鼓,"https://music.163.com/playlist?id=643658893
",592954,23341,248,114,治愈兔,2017-03-27
「趣乐糖果」玻璃瓶里的清甜果味泡,"https://music.163.com/playlist?id=2313686991
",934515,23307,331,147,车厘子焯水,2018-07-13
“迷人电音 反派角色”,"https://music.163.com/playlist?id=2373300150
",1262107,23277,239,158,和久井映见,2018-08-19
【冷寂氛围】星空下的思索者，矫首仰望,"https://music.163.com/playlist?id=2559620809
",819943,23273,234,200,谐星七十六号,2018-12-16
时尚的BGM是一种怎样的体验,"https://music.163.com/playlist?id=2487016080
",1054198,23079,285,173,IntropinRevivan,2018-10-26
跳入你的心海放一颗电音糖,"https://music.163.com/playlist?id=2475145001
",1554519,23031,155,61,电音赫兹,2018-10-18
不要放这些音乐！我还想再睡一会儿！,"https://music.163.com/playlist?id=2449258350
",1584931,22275,212,124,ALvetX,2018-10-02
日语流行电子，令人上瘾的魔性节奏,"https://music.163.com/playlist?id=2009003201
",621443,22208,163,107,傻fufu的MK,2017-12-10
纯音♥绵延琴瑟予你一曲霓裳风华,"https://music.163.com/playlist?id=2364912946
",507514,22134,147,64,霓虹小知音_Nihonico,2018-08-15
Kawaii Bass丨萝莉电子即为正义⚡️,"https://music.163.com/playlist?id=2522547939
",484556,22131,157,136,音凛酱,2018-11-20
『接个吻，开一枪』国风和电音的完美碰撞❤,"https://music.163.com/playlist?id=710924662
",633493,22052,200,133,XTRA_筱尊,2017-04-28
轻电子丨我的宇宙里为你藏有无数个温柔星球,"https://music.163.com/playlist?id=2541689977
",627440,21358,279,131,海厘,2018-12-04
孤独的守望者丨星空只属于你,"https://music.163.com/playlist?id=2234516998
",526023,21172,283,128,养只喵取名为猫,2018-05-20
打游戏必备｜Spinnin' Records高能电音战曲,"https://music.163.com/playlist?id=2378065090
",1368692,20687,131,103,SpinninRecordsOfficial,2018-08-21
【电音】耳机党福音 节奏控最爱,"https://music.163.com/playlist?id=988828723
",909995,20645,170,149,风之君临,2017-11-08
⚡Moombahton 丨电流律动的异域风,"https://music.163.com/playlist?id=2345781577
",1521195,20572,294,64,Jisoo7,2018-08-03
系好安全带，准备起飞。嗯哼,"https://music.163.com/playlist?id=723108188
",1159905,20286,274,119,L_76,2017-05-09
国风悠扬 | 温澜潮生,"https://music.163.com/playlist?id=2355923650
",484884,20224,163,95,-毕宿五,2018-08-09
